"morphotype" "amount" "plot" "tree" "date" "adult.larvae" "family" "morph" "bio" "totbio" "morphplot" "plant_bio" "guild" "treat"
"115" "orth043" 2 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth043" 5.12348331744905 10.2469666348981 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"116" "orth025" 3 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth025" 14.3959644893701 43.1878934681103 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"117" "orth037" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth037" 14.6174474097651 14.6174474097651 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"118" "orth013" 1 "w1g6p5" "tremor" "7/11/2016" "L" "orth" "orth013" 33.2042105386573 33.2042105386573 "orthw1g6p5" 19.81 "herbivore" "weevil25"
"119" "orth020" 5 "w1g6p5" "tremor" "7/11/2016" "L" "orth" "orth020" 15.9052173639475 79.5260868197375 "orthw1g6p5" 19.81 "herbivore" "weevil25"
"120" "orth028" 3 "w1g6p5" "tremor" "7/11/2016" "L" "orth" "orth028" 10.0324695711807 30.0974087135421 "orthw1g6p5" 19.81 "herbivore" "weevil25"
"121" "orth015" 3 "w1g6p5" "tremor" "7/11/2016" "L" "orth" "orth015" 15.4518541860732 46.3555625582196 "orthw1g6p5" 19.81 "herbivore" "weevil25"
"122" "orth054" 5 "w1g6p5" "tremor" "7/11/2016" "L" "orth" "orth054" 70.7395160219863 353.697580109932 "orthw1g6p5" 19.81 "herbivore" "weevil25"
"123" "orth030" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth030" 1.07759863630533 1.07759863630533 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"124" "orth045" 2 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth045" 1.52123749342375 3.0424749868475 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"125" "orth001" 2 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth001" 2.65887708549633 5.31775417099266 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"126" "orth002" 1 "w1g6p5" "tricpl" "7/11/2016" "A" "orth" "orth002" 4.71982706775403 4.71982706775403 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"127" "orth003" 2 "w1g6p5" "tricpl" "7/11/2016" "A" "orth" "orth003" 5.50328873744218 11.0065774748844 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"128" "orth024" 9 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth024" 6.00475800356624 54.0428220320962 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"129" "orth024" 5 "w1g6p5" "tricpl" "7/11/2016" "A" "orth" "orth024" 6.00475800356624 30.0237900178312 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"130" "orth011" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth011" 21.4017641921427 21.4017641921427 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"131" "orth040" 1 "w1g6p5" "tricpl" "7/11/2016" "A" "orth" "orth040" 1628.49871595999 1628.49871595999 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"132" "orth013" 4 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth013" 33.2042105386573 132.816842154629 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"133" "orth020" 3 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth020" 15.9052173639475 47.7156520918425 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"134" "orth028" 5 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth028" 10.0324695711807 50.1623478559035 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"135" "orth051" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth051" 209.624388945307 209.624388945307 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"136" "orth043" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth043" 5.12348331744905 5.12348331744905 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"137" "orth026" 1 "w1g6p5" "tricpl" "7/11/2016" "A" "orth" "orth026" 213.063317190153 213.063317190153 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"138" "orth037" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth037" 14.6174474097651 14.6174474097651 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"139" "orth015" 3 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth015" 15.4518541860732 46.3555625582196 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"140" "orth050" 2 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth050" 3.26322118683651 6.52644237367302 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"141" "orth018" 1 "w1g6p5" "tricpl" "7/11/2016" "L" "orth" "orth018" 24.4843275653858 24.4843275653858 "orthw1g6p5" 14.245 "herbivore" "weevil25"
"142" "orth001" 5 "w1g6p5" "melamu" "7/11/2016" "L" "orth" "orth001" 2.65887708549633 13.2943854274817 "orthw1g6p5" 7.905 "herbivore" "weevil25"
"143" "orth013" 1 "w1g6p5" "melamu" "7/11/2016" "L" "orth" "orth013" 33.2042105386573 33.2042105386573 "orthw1g6p5" 7.905 "herbivore" "weevil25"
"144" "orth019" 2 "w1g6p5" "melamu" "7/11/2016" "L" "orth" "orth019" 3.23117909348423 6.46235818696846 "orthw1g6p5" 7.905 "herbivore" "weevil25"
"145" "orth004" 1 "w1g6p5" "melamu" "7/11/2016" "L" "orth" "orth004" 6.99956067494318 6.99956067494318 "orthw1g6p5" 7.905 "herbivore" "weevil25"
"146" "orth024" 2 "w1g6p5" "melamu" "7/11/2016" "L" "orth" "orth024" 6.00475800356624 12.0095160071325 "orthw1g6p5" 7.905 "herbivore" "weevil25"
"147" "orth018" 2 "w1g6p5" "melamu" "7/11/2016" "L" "orth" "orth018" 24.4843275653858 48.9686551307716 "orthw1g6p5" 7.905 "herbivore" "weevil25"
"148" "orth025" 1 "w1g6p5" "melamu" "7/11/2016" "L" "orth" "orth025" 14.3959644893701 14.3959644893701 "orthw1g6p5" 7.905 "herbivore" "weevil25"
"149" "orth060" 1 "w1g1p3" "tricpl" "8/17/2016" "A" "orth" "orth060" 467.070559758828 467.070559758828 "orthw1g1p3" 2.13 "herbivore" "control"
"150" "orth061" 1 "w1g1p3" "breyce" "8/17/2016" "A" "orth" "orth061" 86.4401032127332 86.4401032127332 "orthw1g1p3" 4.72 "herbivore" "control"
"151" "orth027" 1 "w1g1p3" "piptar" "8/17/2016" "A" "orth" "orth027" 4.45503072275719 4.45503072275719 "orthw1g1p3" 1.89 "herbivore" "control"
"152" "orth003" 1 "w1g1p3" "piptar" "8/17/2016" "A" "orth" "orth003" 5.50328873744218 5.50328873744218 "orthw1g1p3" 1.89 "herbivore" "control"
"153" "orth020" 2 "w1g1p3" "piptar" "8/17/2016" "L" "orth" "orth020" 15.9052173639475 31.810434727895 "orthw1g1p3" 1.89 "herbivore" "control"
