"morphotype" "amount" "plot" "tree" "date" "adult.larvae" "family"
"301" "orth064" 1 "w1g2p3" "pipeum" "8/8/2016" "A" "orth"
"302" "orth073" 1 "w1g2p3" "pipeum" "8/8/2016" "A" "orth"
"303" "orth015" 1 "w1g2p3" "pipeum" "8/8/2016" "L" "orth"
"304" "orth002" 3 "w1g2p3" "tremor" "8/8/2016" "L" "orth"
"305" "orth011" 2 "w1g2p3" "tremor" "8/8/2016" "L" "orth"
"306" "orth019" 1 "w1g2p3" "tremor" "8/8/2016" "L" "orth"
"307" "orth008" 3 "w1g2p3" "tremor" "8/8/2016" "L" "orth"
"308" "orth074" 2 "w1g2p3" "tremor" "8/8/2016" "L" "orth"
"309" "orth066" 1 "w1g2p3" "tremor" "8/8/2016" "L" "orth"
"310" "orth001" 3 "w1g3p1" "melamu" "8/3/2016" "L" "orth"
"311" "orth014" 1 "w1g3p1" "melamu" "8/3/2016" "A" "orth"
"312" "orth028" 1 "w1g3p1" "melamu" "8/3/2016" "L" "orth"
"313" "orth065" 1 "w1g3p1" "piptar" "8/3/2016" "A" "orth"
"314" "orth051" 1 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"315" "orth033" 5 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"316" "orth071" 2 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"317" "orth042" 2 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"318" "orth060" 1 "w1g3p1" "piptar" "8/3/2016" "A" "orth"
"319" "orth032" 3 "w1g3p1" "piptar" "8/3/2016" "A" "orth"
"320" "orth015" 2 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"321" "orth002" 1 "w1g3p1" "piptar" "8/3/2016" "A" "orth"
"322" "orth009" 1 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"323" "orth074" 1 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"324" "orth075" 1 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"325" "orth045" 2 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"326" "orth024" 1 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"327" "orth003" 1 "w1g3p1" "piptar" "8/3/2016" "A" "orth"
"328" "orth004" 1 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"329" "orth049" 1 "w1g3p1" "piptar" "8/3/2016" "A" "orth"
"330" "orth037" 1 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"331" "orth020" 1 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"332" "orth058" 1 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"333" "orth007" 3 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"334" "orth025" 5 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"335" "orth028" 7 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"336" "orth076" 3 "w1g3p1" "piptar" "8/3/2016" "L" "orth"
"339" "orth041" 2 "w1g2p5" "piptar" "8/12/2016" "A" "orth"
"340" "orth058" 3 "w1g2p5" "piptar" "8/12/2016" "L" "orth"
"341" "orth013" 5 "w1g2p5" "piptar" "8/12/2016" "L" "orth"
"342" "orth023" 1 "w1g2p5" "piptar" "8/12/2016" "A" "orth"
"343" "orth020" 6 "w1g2p5" "piptar" "8/12/2016" "L" "orth"
"344" "orth063" 1 "w1g2p5" "piptar" "8/12/2016" "A" "orth"
"345" "orth077" 1 "w1g2p5" "piptar" "8/12/2016" "L" "orth"
"346" "orth078" 1 "w1g2p5" "piptar" "8/12/2016" "L" "orth"
"347" "orth033" 2 "w1g2p5" "piptar" "8/12/2016" "L" "orth"
"348" "orth024" 1 "w1g2p5" "piptar" "8/12/2016" "L" "orth"
