"morphotype" "no" "size" "scale" "scl" "notes" "NA" "nscl" "rsize"
"331" "aran013" 9 1 "cm" 1 "" "aran" 1 1
"332" "aran014" 1 8 "1 cm" 1 "" "aran" 10 0.8
"333" "aran014" 2 7.5 "1 cm" 1 "" "aran" 10 0.75
"334" "aran014" 3 8.4 "1 cm" 1 "" "aran" 10 0.84
"335" "aran014" 4 8 "1 cm" 1 "" "aran" 10 0.8
"336" "aran014" 5 8.4 "1 cm" 1 "" "aran" 10 0.84
"337" "aran014" 6 8.5 "1 cm" 1 "" "aran" 10 0.85
"338" "aran014" 7 8.3 "1 cm" 1 "" "aran" 10 0.83
"339" "aran014" 8 8 "1 cm" 1 "" "aran" 10 0.8
"340" "aran014" 9 9 "1 cm" 1 "" "aran" 10 0.9
"341" "aran014" 10 7.8 "1 cm" 1 "" "aran" 10 0.78
"342" "aran014" 11 8.3 "1 cm" 1 "" "aran" 10 0.83
"343" "aran014" 12 7.7 "1 cm" 1 "" "aran" 10 0.77
"344" "aran014" 13 7.2 "1 cm" 1 "" "aran" 10 0.72
"345" "aran014" 14 8.7 "1 cm" 1 "" "aran" 10 0.87
"346" "aran014" 15 8.5 "1 cm" 1 "" "aran" 10 0.85
"347" "aran014" 16 7.5 "1 cm" 1 "" "aran" 10 0.75
"348" "aran014" 17 7.9 "1 cm" 1 "" "aran" 10 0.79
"349" "aran014" 18 9.7 "1 cm" 1 "" "aran" 10 0.97
"350" "aran014" 19 9.1 "1 cm" 1 "" "aran" 10 0.91
"351" "aran014" 20 8.7 "1 cm" 1 "" "aran" 10 0.87
"352" "aran015" 1 7 "" 0.5 "" "aran" 20 0.35
"353" "aran015" 2 4.7 "" 0.5 "" "aran" 20 0.235
"354" "aran015" 3 5.6 "" 0.5 "" "aran" 20 0.28
"355" "aran015" 4 7.1 "" 0.5 "" "aran" 20 0.355
"356" "aran015" 5 4.9 "" 0.5 "" "aran" 20 0.245
"357" "aran015" 6 5.6 "" 0.5 "" "aran" 20 0.28
"358" "aran015" 7 8.3 "" 0.5 "" "aran" 20 0.415
"359" "aran015" 8 7.4 "" 0.5 "" "aran" 20 0.37
"360" "aran015" 9 6.6 "" 0.5 "" "aran" 20 0.33
"361" "aran015" 10 8.6 "" 0.5 "" "aran" 20 0.43
"362" "aran015" 11 6.1 "" 0.5 "" "aran" 20 0.305
"363" "aran015" 12 5.8 "" 0.5 "" "aran" 20 0.29
"364" "aran015" 13 6.8 "" 0.5 "" "aran" 20 0.34
"365" "aran015" 14 8.5 "" 0.5 "" "aran" 20 0.425
"366" "aran015" 15 5.6 "" 0.5 "" "aran" 20 0.28
"367" "aran015" 16 7.6 "" 0.5 "" "aran" 20 0.38
"368" "aran015" 17 6.8 "" 0.5 "" "aran" 20 0.34
"369" "aran015" 18 6.4 "" 0.5 "" "aran" 20 0.32
"370" "aran015" 19 5.7 "" 0.5 "" "aran" 20 0.285
"371" "aran015" 20 4.4 "" 0.5 "" "aran" 20 0.22
"372" "aran016" 1 5.6 "1 cm" 1 "" "aran" 10 0.56
"373" "aran016" 2 6 "1 cm" 1 "" "aran" 10 0.6
"374" "aran016" 3 5.9 "1 cm" 1 "" "aran" 10 0.59
"375" "aran016" 4 9.4 "" 0.5 "" "aran" 20 0.47
"376" "aran016" 5 8.4 "" 0.5 "" "aran" 20 0.42
"377" "aran016" 6 9.3 "" 0.5 "" "aran" 20 0.465
"378" "aran016" 7 7.2 "1 cm" 1 "" "aran" 10 0.72
"379" "aran016" 8 5.6 "1 cm" 1 "" "aran" 10 0.56
"380" "aran016" 9 6.5 "1 cm" 1 "" "aran" 10 0.65
"381" "aran016" 10 5.4 "1 cm" 1 "" "aran" 10 0.54
"382" "aran016" 11 8.4 "" 0.5 "" "aran" 20 0.42
"383" "aran016" 12 6.3 "1 cm" 1 "" "aran" 10 0.63
"384" "aran016" 13 8.8 "" 0.5 "" "aran" 20 0.44
"385" "aran017" 1 7.7 "1 cm" 1 "" "aran" 10 0.77
"386" "aran017" 2 5.8 "1 cm" 1 "" "aran" 10 0.58
"387" "aran017" 3 5.3 "1 cm" 1 "" "aran" 10 0.53
"388" "aran017" 4 10.2 "1 cm" 1 "" "aran" 10 1.02
