"morph" "size" "group" "a" "b" "bio"
"205" "cole082" 1.94 "cole" -3.2 2.56 0.222346391977622
"206" "cole083" 1.17 "cole" -3.2 2.56 0.0609275148180093
"207" "cole084" 1.1 "cole" -3.2 2.56 0.0520262989244686
"208" "cole085" 0.63 "cole" -3.2 2.56 0.01249020206832
"209" "cole086" 0.45 "cole" -3.2 2.56 0.0052781495731631
"210" "cole087" 0.91 "cole" -3.2 2.56 0.0320186946341982
"211" "cole088" 0.98 "cole" -3.2 2.56 0.0387076149049493
"212" "cole089" 0.53 "cole" -3.2 2.56 0.00802423952708767
"213" "cole090" 0.43 "cole" -3.2 2.56 0.00469825845720326
"214" "cole091" 0.553636363636364 "cole" -3.2 2.56 0.00897248318363518
"215" "cole092" 0.67 "cole" -3.2 2.56 0.0146220799039266
"216" "cole093" 0.39 "cole" -3.2 2.56 0.0036591739197236
"217" "cole095" 0.53 "cole" -3.2 2.56 0.00802423952708767
"218" "cole096" 0.47 "cole" -3.2 2.56 0.0058996761715675
"219" "cole097" 0.82 "cole" -3.2 2.56 0.0245256835310283
"220" "cole098" 1.4 "cole" -3.2 2.56 0.0964595939130921
"221" "cole099" 1.22 "cole" -3.2 2.56 0.0678170390890293
"222" "cole100" 0.715 "cole" -3.2 2.56 0.0172695541276168
"223" "cole101" 1 "cole" -3.2 2.56 0.0407622039783662
"224" "cole103" 0.82 "cole" -3.2 2.56 0.0245256835310283
"225" "cole104" 0.71 "cole" -3.2 2.56 0.0169620770100105
"226" "cole105" 0.31 "cole" -3.2 2.56 0.0020330290958707
"227" "cole106" 0.3 "cole" -3.2 2.56 0.00186933901395353
"228" "cole107" 0.32 "cole" -3.2 2.56 0.00220516759766112
"229" "cole108" 0.45 "cole" -3.2 2.56 0.0052781495731631
"230" "cole112" 2.09166666666667 "cole" -3.2 2.56 0.269599073278368
"231" "cole113" 3.1 "cole" -3.2 2.56 0.738148249419751
"232" "cole114" 1.40769230769231 "cole" -3.2 2.56 0.0978222089940954
"233" "cole115" 1.69 "cole" -3.2 2.56 0.15618798487868
"234" "cole116" 0.825 "cole" -3.2 2.56 0.0249103463642643
"235" "cole117" 1.31 "cole" -3.2 2.56 0.0813714724473312
"236" "cole118" 0.9815 "cole" -3.2 2.56 0.0388594666871875
"237" "cole119" 0.8075 "cole" -3.2 2.56 0.0235799313994302
"238" "cole120" 1.18666666666667 "cole" -3.2 2.56 0.0631741257631834
"239" "cole121" 1.46 "cole" -3.2 2.56 0.107399180793643
"240" "cole122" 1.182 "cole" -3.2 2.56 0.0625400750199797
"241" "cole123" 1.2 "cole" -3.2 2.56 0.0650072280429883
"242" "cole124" 0.8385 "cole" -3.2 2.56 0.0259672231022853
"243" "cole125" 1.06 "cole" -3.2 2.56 0.0473195573078234
"244" "cole126" 1.00545454545455 "cole" -3.2 2.56 0.0413338166750362
"245" "cole127" 0.996 "cole" -3.2 2.56 0.0403461003403152
"246" "cole128" 0.813333333333333 "cole" -3.2 2.56 0.0240184623839603
"247" "cole129" 1.06 "cole" -3.2 2.56 0.0473195573078234
"248" "cole130" 1.945 "cole" -3.2 2.56 0.223816370316432
"249" "cole131" 2.26666666666667 "cole" -3.2 2.56 0.331169294105102
"250" "cole132" 3.375 "cole" -3.2 2.56 0.917568566716815
"251" "cole133" 2.3 "cole" -3.2 2.56 0.343780246076434
"252" "cole134" 1.44 "cole" -3.2 2.56 0.103672993248253
"253" "cole135" 0.77 "cole" -3.2 2.56 0.0208772799262716
"254" "cole136" 1.36 "cole" -3.2 2.56 0.0895606554567843
"255" "cole137" 0.775 "cole" -3.2 2.56 0.0212260907327008
"256" "cole138" 1.03 "cole" -3.2 2.56 0.0439664046993329
"257" "cole139" 0.84 "cole" -3.2 2.56 0.0260863087542471
"258" "cole140" 2.8 "cole" -3.2 2.56 0.568829640073887
"259" "cole141" 1.24 "cole" -3.2 2.56 0.0706996350404006
"260" "cole142" 0.74 "cole" -3.2 2.56 0.0188577928349159
"261" "cole143" 0.51 "cole" -3.2 2.56 0.00727172269303398
"262" "cole145" 0.64 "cole" -3.2 2.56 0.0130040428327982
"263" "cole146" 0.69 "cole" -3.2 2.56 0.0157656300075995
"264" "cole147" 0.33 "cole" -3.2 2.56 0.00238590608061168
"265" "cole148" 1.08 "cole" -3.2 2.56 0.049638936918871
"266" "cole149" 0.58 "cole" -3.2 2.56 0.0101072572947374
"267" "cole150" 1.01 "cole" -3.2 2.56 0.0418138709739787
"268" "cole151" 0.92 "cole" -3.2 2.56 0.0329271768249928
"269" "cole152" 0.79 "cole" -3.2 2.56 0.0222937440931186
"270" "hemi001" 0.95775 "hemi" -3.01 2.59 0.0440774747753262
"271" "hemi002" 0.99925 "hemi" -3.01 2.59 0.049195986756441
"272" "hemi003" 0.891 "hemi" -3.01 2.59 0.0365558480062381
"273" "hemi004" 1.55714285714286 "hemi" -3.01 2.59 0.155204502308456
"274" "hemi005" 1.86666666666667 "hemi" -3.01 2.59 0.248219873353178
"275" "hemi006" 0.48 "hemi" -3.01 2.59 0.00736526562800635
"276" "hemi007" 0.466666666666667 "hemi" -3.01 2.59 0.00684701331086679
"277" "hemi008" 0.37625 "hemi" -3.01 2.59 0.00391974456630274
"278" "hemi009" 0.33675 "hemi" -3.01 2.59 0.00294103575821551
"279" "hemi010" 0.423 "hemi" -3.01 2.59 0.00530878529004841
"280" "hemi011" 0.705 "hemi" -3.01 2.59 0.0199334936660246
"281" "hemi012" 0.6315 "hemi" -3.01 2.59 0.0149878935065088
"282" "hemi013" 1.1 "hemi" -3.01 2.59 0.063092925317219
"283" "hemi014" 0.8265 "hemi" -3.01 2.59 0.0300907222132798
"284" "hemi015" 1.3 "hemi" -3.01 2.59 0.0972493913583434
"285" "hemi016" 0.505555555555556 "hemi" -3.01 2.59 0.0084243233380556
"286" "hemi017" 0.617 "hemi" -3.01 2.59 0.0141127674182862
"287" "hemi018" 0.741 "hemi" -3.01 2.59 0.0226778964612334
"288" "hemi019" 0.881 "hemi" -3.01 2.59 0.035502686071081
"289" "hemi020" 1.72222222222222 "hemi" -3.01 2.59 0.201485876203578
"290" "hemi021" 2.2 "hemi" -3.01 2.59 0.379881682473573
"291" "hemi022" 0.335 "hemi" -3.01 2.59 0.00290161414492468
"292" "hemi023" 0.568684210526316 "hemi" -3.01 2.59 0.0114258874159742
"293" "hemi024" 1.4 "hemi" -3.01 2.59 0.117827108971057
"294" "hemi025" 1.42941176470588 "hemi" -3.01 2.59 0.124345808856936
"295" "hemi026" 0.73 "hemi" -3.01 2.59 0.02181623570797
"296" "hemi027" 0.2775 "hemi" -3.01 2.59 0.00178165966038765
"297" "hemi028" 0.9915 "hemi" -3.01 2.59 0.048213843127358
"298" "hemi029" 1.6 "hemi" -3.01 2.59 0.166511550390414
"299" "hemi030" 1.01454545454545 "hemi" -3.01 2.59 0.0511701651834768
"300" "hemi031" 0.64875 "hemi" -3.01 2.59 0.016071410718214
"301" "hemi032" 1.35 "hemi" -3.01 2.59 0.107235373772704
"302" "hemi033" 1.6 "hemi" -3.01 2.59 0.166511550390414
"303" "hemi034" 0.50875 "hemi" -3.01 2.59 0.0085628840455583
"304" "hemi035" 0.762857142857143 "hemi" -3.01 2.59 0.0244512767684654
"305" "hemi036" 0.663333333333333 "hemi" -3.01 2.59 0.0170238987500573
"306" "hemi037" 1.61666666666667 "hemi" -3.01 2.59 0.171041171606448
"307" "hemi038" 0.5725 "hemi" -3.01 2.59 0.0116255131353898
"308" "hemi039" 0.41025 "hemi" -3.01 2.59 0.00490421449784032
"309" "hemi040" 1.5 "hemi" -3.01 2.59 0.140880203542773
"310" "hemi041" 0.94 "hemi" -3.01 2.59 0.0419927919514889
"311" "hemi042" 0.82 "hemi" -3.01 2.59 0.0294816297102424
"312" "hemi043" 0.69 "hemi" -3.01 2.59 0.0188535333920105
"313" "hemi044" 0.92 "hemi" -3.01 2.59 0.0397176991924186
"314" "hemi045" 1.23357142857143 "hemi" -3.01 2.59 0.0848963759215113
"315" "hemi046" 0.7 "hemi" -3.01 2.59 0.0195694010257309
"316" "hemi047" 2.05454545454545 "hemi" -3.01 2.59 0.318205302462575
"317" "hemi048" 1.8 "hemi" -3.01 2.59 0.225906848850714
"318" "hemi049" 0.67 "hemi" -3.01 2.59 0.0174705810155593
"319" "hemi050" 1.4 "hemi" -3.01 2.59 0.117827108971057
"320" "hemi051" 2.075 "hemi" -3.01 2.59 0.326475421451342
"321" "hemi052" 0.74 "hemi" -3.01 2.59 0.0225987159585724
"322" "hemi053" 0.7 "hemi" -3.01 2.59 0.0195694010257309
"323" "hemi054" 2 "hemi" -3.01 2.59 0.296784556514467
"324" "hemi055" 1.47777777777778 "hemi" -3.01 2.59 0.135538058432293
"325" "hemi056" 2.3 "hemi" -3.01 2.59 0.426234603610743
"326" "hemi057" 0.55 "hemi" -3.01 2.59 0.0104788343548549
"327" "hemi058" 0.92 "hemi" -3.01 2.59 0.0397176991924186
"328" "hemi059" 0.453181818181818 "hemi" -3.01 2.59 0.00634628141399391
"329" "hemi060" 2.3 "hemi" -3.01 2.59 0.426234603610743
"330" "hemi061" 0.785714285714286 "hemi" -3.01 2.59 0.0263942333301084
"331" "hemi062" 1.15 "hemi" -3.01 2.59 0.0707914839118305
"332" "hemi063" 0.9 "hemi" -3.01 2.59 0.0375199031718986
"333" "hemi064" 0.4 "hemi" -3.01 2.59 0.00459313263895691
"334" "hemi065" 1.4 "hemi" -3.01 2.59 0.117827108971057
"335" "hemi066" 1.85 "hemi" -3.01 2.59 0.24252046152141
"336" "hemi067" 1.5 "hemi" -3.01 2.59 0.140880203542773
"337" "hemi068" 0.975 "hemi" -3.01 2.59 0.0461631636426011
"338" "hemi069" 1.03 "hemi" -3.01 2.59 0.0532135241181257
"339" "hemi070" 0.85 "hemi" -3.01 2.59 0.0323570281744141
"340" "hemi071" 0.85 "hemi" -3.01 2.59 0.0323570281744141
"341" "hemi072" 1.15 "hemi" -3.01 2.59 0.0707914839118305
"342" "hemi073" 0.4225 "hemi" -3.01 2.59 0.00529254789520535
"343" "hemi074" 1.5 "hemi" -3.01 2.59 0.140880203542773
"344" "hemi075" 1.5 "hemi" -3.01 2.59 0.140880203542773
"345" "hemi076" 1.56666666666667 "hemi" -3.01 2.59 0.157675062495522
"346" "hemi077" 0.976666666666667 "hemi" -3.01 2.59 0.0463678219861017
"347" "hemi078" 0.824 "hemi" -3.01 2.59 0.0298555507965418
"348" "hemi079" 2.1 "hemi" -3.01 2.59 0.336760838992032
"349" "hemi080" 1.7 "hemi" -3.01 2.59 0.1948212456617
"350" "hemi081" 0.4845 "hemi" -3.01 2.59 0.00754543884011281
"351" "hemi082" 0.33 "hemi" -3.01 2.59 0.00279077429235225
"352" "hemi083" 0.645 "hemi" -3.01 2.59 0.0158319084694436
"353" "hemi084" 0.465 "hemi" -3.01 2.59 0.00678385813718926
"354" "hemi085" 1.4 "hemi" -3.01 2.59 0.117827108971057
"355" "hemi086" 1.15 "hemi" -3.01 2.59 0.0707914839118305
"356" "hemi087" 0.68 "hemi" -3.01 2.59 0.018153973342226
"357" "hemi088" 1.7 "hemi" -3.01 2.59 0.1948212456617
"358" "hemi089" 0.94 "hemi" -3.01 2.59 0.0419927919514889
"359" "hemi090" 0.95 "hemi" -3.01 2.59 0.0431596334060607
"360" "hemi091" 0.455 "hemi" -3.01 2.59 0.00641243722837344
"361" "hemi092" 0.705 "hemi" -3.01 2.59 0.0199334936660246
