"morph" "nospec" "r_cm_size"
"594" "aran035" 2 0.7
"595" "aran035" 3 0.47
"596" "aran035" 4 0.69
"597" "aran035" 5 0.85
"598" "aran035" 6 0.62
"599" "aran035" 7 0.85
"600" "aran035" 8 0.79
"601" "aran035" 9 0.455
"602" "aran035" 10 0.58
"603" "aran035" 11 0.56
"604" "aran035" 12 0.78
"605" "aran035" 13 0.365
"606" "aran035" 14 0.46
"607" "aran035" 15 0.49
"608" "aran035" 16 0.35
"609" "aran035" 17 0.56
"610" "aran036" 1 0.255
"611" "aran036" 2 0.47
"612" "aran036" 3 0.495
"613" "aran036" 4 0.275
"614" "aran036" 5 0.62
"615" "aran036" 6 0.325
"616" "aran036" 7 0.46
"617" "aran036" 8 0.345
"618" "aran036" 9 0.34
"619" "aran036" 10 0.455
"620" "aran036" 11 0.56
"621" "aran036" 12 0.39
"622" "aran036" 13 0.355
"623" "aran036" 14 0.355
"624" "aran036" 15 0.415
"625" "aran036" 16 0.47
"626" "aran036" 17 0.465
"627" "aran036" 18 0.31
"628" "aran036" 19 0.375
"629" "aran036" 20 0.42
"630" "aran037" 1 0.62
"631" "aran037" 2 0.33
"632" "aran037" 3 0.245
"633" "aran037" 4 0.57
"634" "aran037" 5 0.42
"635" "aran037" 6 0.27
"636" "aran037" 7 0.355
"637" "aran037" 8 0.475
"638" "aran037" 9 0.42
"639" "aran037" 10 0.325
"640" "aran037" 11 0.33
"641" "aran037" 12 0.85
"642" "aran037" 13 0.305
"643" "aran037" 14 0.13
"644" "aran037" 15 0.345
"645" "aran037" 16 0.355
"646" "aran037" 17 0.345
"647" "aran037" 18 0.37
"648" "aran037" 19 0.62
"649" "aran037" 20 0.6
"650" "aran038" 1 0.43
"651" "aran038" 2 0.64
"652" "aran038" 3 0.62
"653" "aran038" 4 0.385
"654" "aran038" 5 0.48
"655" "aran038" 6 0.485
"656" "aran038" 7 0.59
"657" "aran038" 8 0.7
"658" "aran038" 9 0.425
"659" "aran038" 10 0.42
"660" "aran038" 11 0.56
"661" "aran038" 12 0.53
"662" "aran038" 13 0.46
"663" "aran038" 14 0.65
"664" "aran038" 15 0.61
"665" "aran038" 16 0.43
"666" "aran038" 17 0.55
"667" "aran038" 18 0.465
"668" "aran038" 19 0.67
"669" "aran038" 20 0.58
"670" "aran039" 1 0.365
"671" "aran039" 2 0.74
"672" "aran039" 3 0.82
"673" "aran039" 4 0.39
"674" "aran039" 5 0.435
"675" "aran039" 6 0.39
"676" "aran039" 7 1.1
"677" "aran039" 8 0.38
"678" "aran039" 9 0.385
"679" "aran039" 10 0.385
"680" "aran039" 11 0.39
"681" "aran039" 12 0.415
"682" "aran039" 13 0.395
"683" "aran039" 14 0.355
"684" "aran039" 15 0.4
"685" "aran039" 16 0.445
"686" "aran039" 17 0.375
"687" "aran039" 18 0.25
"688" "aran039" 19 0.35
"689" "aran039" 20 0.31
"690" "aran040" 1 0.455
"691" "aran040" 2 1.1
"692" "aran040" 3 0.5
"693" "aran040" 4 0.62
"694" "aran040" 5 0.59
"695" "aran040" 6 0.65
"696" "aran040" 7 0.56
"697" "aran040" 8 0.5
"698" "aran040" 9 0.5
"699" "aran040" 10 0.65
"700" "aran040" 11 0.67
"701" "aran040" 12 0.475
"702" "aran040" 13 0.72
"703" "aran040" 14 0.89
"704" "aran040" 15 0.63
"705" "aran040" 16 0.55
"706" "aran040" 17 0.7
"707" "aran040" 18 0.79
"708" "aran040" 19 0.86
"709" "aran040" 20 0.475
"710" "aran041" 1 0.61
"711" "aran041" 2 0.41
"712" "aran041" 3 0.45
"713" "aran041" 4 0.5
"714" "aran041" 5 0.97
"715" "aran041" 6 0.56
"716" "aran041" 7 0.485
"717" "aran041" 8 0.56
"718" "aran041" 9 0.5
"719" "aran041" 10 0.31
"720" "aran041" 11 0.47
"721" "aran041" 12 0.335
"722" "aran041" 13 0.395
"723" "aran041" 14 0.465
"724" "aran041" 15 0.395
"725" "aran041" 16 0.255
"726" "aran041" 17 0.76
"727" "aran041" 18 1.1
"728" "aran041" 19 0.335
"729" "aran041" 20 0.345
"730" "aran042" 1 0.215
"731" "aran042" 2 0.25
"732" "aran042" 3 0.25
"733" "aran042" 4 0.235
"734" "aran042" 5 0.235
"735" "aran042" 6 0.27
"736" "aran042" 7 0.28
"737" "aran042" 8 0.25
"738" "aran042" 9 0.27
"739" "aran042" 10 0.27
"740" "aran042" 11 0.245
"741" "aran042" 12 0.215
"742" "aran042" 13 0.23
"743" "aran042" 14 0.215
"744" "aran042" 15 0.225
"745" "aran043" 1 0.29
"746" "aran043" 2 0.24
"747" "aran043" 3 0.325
"748" "aran043" 4 0.24
"749" "aran043" 5 0.3
"750" "aran043" 6 0.31
"751" "aran043" 7 0.37
"752" "aran043" 8 0.22
"753" "aran043" 9 0.275
"754" "aran043" 10 0.22
"755" "aran043" 11 0.34
"756" "aran044" 1 0.375
"757" "aran044" 2 0.25
"758" "aran045" 1 0.46
"759" "aran045" 2 0.395
"760" "aran045" 3 0.31
"761" "aran045" 4 0.395
"762" "aran045" 5 0.395
