morphotype,amount,plot,tree,date,adult/larvae
orth002,2,w1g3p4,melamu,7/30/2016,A
orth024,3,w1g3p4,melamu,7/30/2016,A
orth024,3,w1g3p4,melamu,7/30/2016,L
orth045,1,w1g3p4,melamu,7/30/2016,L
orth020,1,w1g3p4,ficucg,7/30/2016,L
orth021,2,w1g3p4,ficucg,7/30/2016,L
orth019,2,w1g3p4,ficucg,7/30/2016,L
orth025,1,w1g3p4,ficucg,7/30/2016,A
orth030,3,w1g3p4,ficuco,7/30/2016,L
orth002,1,w1g3p4,ficuco,7/30/2016,A
orth019,2,w1g3p4,ficuco,7/30/2016,L
orth024,1,w1g3p4,ficuco,7/30/2016,A
orth024,2,w1g3p4,ficuco,7/30/2016,L
orth016,1,w1g3p4,ficuco,7/30/2016,L
orth033,1,w1g3p4,ficuco,7/30/2016,L
orth020,10,w1g3p4,piptar,7/30/2016,L
orth013,3,w1g3p4,piptar,7/30/2016,L
orth026,2,w1g3p4,piptar,7/30/2016,A
orth024,2,w1g3p4,piptar,7/30/2016,A
orth024,1,w1g3p4,piptar,7/30/2016,L
orth079,1,w1g3p4,piptar,7/30/2016,L
orth016,3,w1g3p4,piptar,7/30/2016,L
orth015,3,w1g3p4,piptar,7/30/2016,L
orth014,2,w1g3p4,piptar,7/30/2016,A
orth027,1,w1g3p4,piptar,7/30/2016,A
orth001,3,w1g3p4,piptar,7/30/2016,L
orth019,3,w1g3p4,piptar,7/30/2016,L
orth033,3,w1g3p4,piptar,7/30/2016,L
orth004,1,w1g3p4,piptar,7/30/2016,L
orth021,1,w1g3p4,piptar,7/30/2016,L
orth037,1,w1g3p4,piptar,7/30/2016,L
orth023,1,w1g3p4,piptar,7/30/2016,A
orth025,4,w1g3p4,piptar,7/30/2016,L
orth028,2,w1g3p4,piptar,7/30/2016,L
orth048,1,w1g3p4,piptar,7/30/2016,L
orth041,1,w1g3p4,piptar,7/30/2016,A
orth042,1,w1g3p4,piptar,7/30/2016,L
orth080,1,w1g3p4,piptar,7/30/2016,L
orth066,1,w1g2p1,piptar,8/11/2016,L
orth016,1,w1g2p1,pipeum,8/11/2016,L
orth064,1,w1g2p1,cordte,8/11/2016,A
orth081,1,w1g2p1,cordte,8/11/2016,L
orth011,2,w1g2p1,melamu,8/11/2016,L
orth016,1,w1g2p1,melamu,8/11/2016,L
orth002,1,w1g2p1,melamu,8/11/2016,A
orth003,1,w1g2p1,melamu,8/11/2016,A
orth064,1,w1g2p1,melamu,8/11/2016,A
orth073,2,w1g2p1,melamu,8/11/2016,A
orth066,2,w1g2p1,melamu,8/11/2016,L
orth007,2,w1g2p1,melamu,8/11/2016,L
orth076,1,w1g2p1,melamu,8/11/2016,L
orth037,1,w1g2p1,melamu,8/11/2016,L
orth042,1,w1g2p1,melamu,8/11/2016,L
orth001,1,w1g3p3,melamu,8/4/2016,L
orth043,1,w1g3p3,melamu,8/4/2016,L
orth019,1,w1g3p3,melamu,8/4/2016,L
orth058,1,w1g3p3,melamu,8/4/2016,L
orth001,1,w1g3p3,ficuco,8/4/2016,L
orth028,1,w1g3p3,costsp,8/4/2016,L
orth051,2,w1g3p3,piptar,8/4/2016,L
orth079,2,w1g3p3,piptar,8/4/2016,L
orth015,4,w1g3p3,piptar,8/4/2016,L
orth082,2,w1g3p3,piptar,8/4/2016,L
orth019,1,w1g3p3,piptar,8/4/2016,L
orth001,5,w1g3p3,piptar,8/4/2016,L
orth002,2,w1g3p3,piptar,8/4/2016,A
orth003,7,w1g3p3,piptar,8/4/2016,A
