Morphotype,Nr. of specimen,Size,Scale,scl
lepi103,1,2.8,cm,1
lepi103,2,2.5,cm,1
lepi103,3,0.87,cm,2
lepi103,4,0.91,cm,2
lepi104,1,0.77,cm,2
lepi105,1,0.54,cm,2
lepi106,1,3.3,cm,1
lepi106,2,3.2,cm,1
lepi106,3,3.4,cm,1
lepi106,4,2.6,cm,1
lepi106,5,2.9,cm,1
lepi106,6,2.8,cm,1
lepi106,7,3.8,cm,1
lepi107,1,0.72,cm,2
lepi108,1,0.52,cm,2
lepi109,1,0.51,cm,2
lepi110,1,2.2,cm,1
lepi111,1,0.62,cm,2
lepi 113,1,2.5,cm,1
lepi113,2,2.8,cm,1
lepi114,1,0.91,cm,2
lepi114,2,1.0,cm,2
lepi114,3,0.90,cm,2
lepi115,1,2.5,cm,1
lepi116,1,0.83,cm,0.5
lepi116,2,0.84,cm,0.5
lepi116,3,0.88,cm,0.5
lepi116,4,0.81,cm,0.5
lepi116,5,0.79,cm,0.5
lepi116,6,0.77,cm,0.5
lepi116,7,0.86,cm,0.5
lepi116,8,0.85,cm,0.5
lepi116,9,0.86,cm,0.5
lepi116,10,0.87,cm,0.5
lepi117,1,0.97,cm,2
